product_name,product_rating,num_of_reviews,product_price
"LG QHD (2560 x 1440) 32 Inch IPS Display 3 Side Borderless - HDR 10, sRGB 99%, AMD Free sync - Dual HDMI, Display Port - 32QN600",4.1,925,225.0
mibstech lg 19v 3.42a power adapter for lcap39;eay63031602 eay62990901 lcap40 eay63031604- Black,1.0,1,2219.0
LG OEM EAD62348802 Power Cord for TV,3.3,4,2219.0
LG 20-inch (50.8 cm) HD Ready Monitor ,3.6,67,2219.0
LG UBK80 UHD 4K -2D/3D Region Free Blu Ray Disc DVD Player PAL/NTSC USB -100-240V 50/60Hz for World Wide Use and 6 ft Multi System HDMI Cable,4.4,89,2219.0
Amaze LG LED/LCD/PLASMA 3D Smart TV Remote (Works With All LG Television),3.0,2,2219.0
LG 164 cm (65 inches) 4K Ultra HD Smart NanoCell TV 65NANO80TNA (Ceramic Black) (2020 Model),4.0,8,2219.0
"LG 3501V00181B Smps,Ac/Dc",,,2219.0
LG XBoom AI ThinQ WK7 AI Speaker ,3.5,21,2219.0
LG DP132 Multi-Format DVD Player ,4.1,927,2219.0
"(Renewed) LG 24 inch Gaming Monitor - 1ms, 75Hz,Full HD, IPS Panel ",4.6,12,2219.0
"(Renewed) LG 22 inch (55cm) LCD Monitor - Full HD, IPS Panel ",3.5,96,2219.0
"LG QHD (2560 x 1440) 27 Inch IPS Display 3 Side Borderless - HDR 10, sRGB 99%, AMD Free sync - Dual HDMI, Display Port - 27QN600",4.1,925,2219.0
Amaze LG Universal Remote Control ,2.9,3,2219.0
Hitachi-LG Multi Ultra Slim Portable DVD Writer External Drive ,4.4,7,2219.0
"LG 22 inch (55cm) IPS Monitor - Full HD, IPS Panel ",4.4,4264,2219.0
LG SJ3 2.1 Ch Sound Bar ,4.1,40,2219.0
"LG 20 inch HD Ready Monitor, Inbuilt Speaker, Remote, HDMI Port, USB Connectivity (Play Back) - 20MN48A (Black)",3.8,36,9550.0
"LG 22 inch (55cm) IPS Monitor - Full HD, IPS Panel ",4.4,4264,9550.0
Factory Tested | 6 Months Warranty LG Universal TV & DVD Blu-Ray Player Remote Control for almost all LG Plasma/Led/Lcd/3D Tv & DVD Blu-ray Player,3.1,3,9550.0
"LG Q60 Mobile Moroccan Blue, 64 GB (3 GB RAM)",4.2,28,9550.0
LG Ultrafine 27 Inch 5K (5120 x 2880) IPS Monitor - ,5.0,1,9550.0
LG X-Boom ON2D Home Audio System (Black),5.0,4,9550.0
LG LED Backlit Computer Monitor 24MT48AF,5.0,1,9550.0
"LG Ultragear 27"" 240Hz, 1ms, G-Sync Compatible, HDR 10, IPS Display Gaming Monitor, Height Adjust, Pivot Stand, Display Port, HDMI Port - 27GN750",4.6,399,9550.0
LG GP65NB60 External DVD Writer (Black),3.9,590,9550.0
"LG Region Free Blu Ray Player - Modified Full Multi Zone A B C Playback - Wifi Compatible, 110-240 volts Free 6FT HDMI Cable - Free OREI Adapter",4.2,198,9550.0
LG 25UM58 25-inch Ultra-Wide LED Monitor (Black),4.2,184,9550.0
New AC Adapter 110W 19V 5.79A ADS-110CL-19-3 190110G for LG LED/LCD/TV 34UM88-P 32GK850G-B 34UC89G-B+ Cord,,,9550.0
